Class;x;y;z
Sleepy;0.5162942409515381;0.3237016797065735;-0.05250662937760353
Sleepy;0.5166119933128357;0.28792092204093933;-0.06585051119327545
Sleepy;0.5159550905227661;0.30529236793518066;-0.04238330200314522
Sleepy;0.5046474933624268;0.2675490975379944;-0.03697461262345314
Sleepy;0.5164339542388916;0.27917659282684326;-0.06652896106243134
Sleepy;0.5158917307853699;0.271297812461853;-0.05660155415534973
Sleepy;0.5142549872398376;0.25579455494880676;-0.00996587984263897
Sleepy;0.42521095275878906;0.2671903967857361;0.03795270249247551
Sleepy;0.5129885673522949;0.24246937036514282;0.008232876658439636
Sleepy;0.5124471187591553;0.23153623938560486;0.012345409020781517
Sleepy;0.5107207298278809;0.19432805478572845;0.04950914531946182
Sleepy;0.5164021849632263;0.32802751660346985;-0.05256729945540428
Sleepy;0.5162616968154907;0.332709401845932;-0.049728233367204666
Sleepy;0.5160905718803406;0.335906982421875;-0.045524682849645615
Sleepy;0.5178825259208679;0.3384397029876709;-0.04889329895377159
Sleepy;0.5181381702423096;0.34079432487487793;-0.05242353677749634
Sleepy;0.5182843804359436;0.3449762761592865;-0.05725803226232529
Sleepy;0.5182816982269287;0.35110709071159363;-0.058353208005428314
Sleepy;0.5177385807037354;0.368286669254303;-0.05159873142838478
Sleepy;0.5165949463844299;0.29482752084732056;-0.061783887445926666
Sleepy;0.505238950252533;0.29797571897506714;-0.04657452553510666
Sleepy;0.378826767206192;0.24595105648040771;0.11598772555589676
Sleepy;0.45972010493278503;0.2716607451438904;0.02316468581557274
Sleepy;0.4475274384021759;0.2724529504776001;0.023651666939258575
Sleepy;0.4357800781726837;0.27219370007514954;0.027146553620696068
Sleepy;0.4200495481491089;0.2709119915962219;0.03813095763325691
Sleepy;0.46967950463294983;0.26905369758605957;0.0249122716486454
Sleepy;0.44349148869514465;0.25181570649147034;0.02553953416645527
Sleepy;0.4557777941226959;0.25174856185913086;0.02658100612461567
Sleepy;0.4320320188999176;0.25344955921173096;0.028811514377593994
Sleepy;0.4240206480026245;0.2567500174045563;0.032914988696575165
Sleepy;0.4098072946071625;0.27551761269569397;0.0416240356862545
Sleepy;0.46654030680656433;0.39142733812332153;-0.044369205832481384
Sleepy;0.42112845182418823;0.2666953504085541;0.04261922091245651
Sleepy;0.3738192021846771;0.28187477588653564;0.09833213686943054
Sleepy;0.3960651159286499;0.2724349796772003;0.05703647807240486
Sleepy;0.4512689411640167;0.29789382219314575;-0.008000115863978863
Sleepy;0.49941301345825195;0.32246121764183044;-0.050430815666913986
Sleepy;0.5018603205680847;0.33297082781791687;-0.048087846487760544
