Class;x;y;z
Confusion;0.4421812891960144;0.6413247585296631;-0.03124125488102436
Confusion;0.43543559312820435;0.6039602756500244;-0.057468708604574203
Confusion;0.4383445978164673;0.6149530410766602;-0.029882565140724182
Confusion;0.42139992117881775;0.555107831954956;-0.04158657044172287
Confusion;0.43355873227119446;0.5894980430603027;-0.0610305480659008
Confusion;0.4316587746143341;0.5691630244255066;-0.056407440453767776
Confusion;0.4277006983757019;0.5192742943763733;-0.02587265893816948
Confusion;0.3496612012386322;0.5227887034416199;0.020702632144093513
Confusion;0.42404794692993164;0.48276248574256897;-0.017190735787153244
Confusion;0.42205554246902466;0.46414345502853394;-0.019021185114979744
Confusion;0.41545405983924866;0.40308523178100586;-0.0057217273861169815
Confusion;0.4430468678474426;0.6472902297973633;-0.029769353568553925
Confusion;0.44398149847984314;0.6514934301376343;-0.025970688089728355
Confusion;0.44465598464012146;0.6529024243354797;-0.02116446942090988
Confusion;0.44513148069381714;0.6526159048080444;-0.021825192496180534
Confusion;0.4456944465637207;0.6571541428565979;-0.023776544257998466
Confusion;0.44649916887283325;0.6631999015808105;-0.02652481384575367
Confusion;0.44739457964897156;0.6693906784057617;-0.025836674496531487
Confusion;0.44938674569129944;0.681730329990387;-0.016573594883084297
Confusion;0.43660226464271545;0.6107825636863708;-0.05179288238286972
Confusion;0.42656195163726807;0.6101447343826294;-0.036349594593048096
Confusion;0.3055092692375183;0.4757422208786011;0.07608801871538162
Confusion;0.3842330873012543;0.5305670499801636;0.007381313014775515
Confusion;0.37345609068870544;0.5332546234130859;0.008838839828968048
Confusion;0.3626464009284973;0.5342904925346375;0.012458703480660915
Confusion;0.34695306420326233;0.5279223918914795;0.022491974756121635
Confusion;0.39262354373931885;0.5259367227554321;0.008451784029603004
Confusion;0.36331504583358765;0.4976713955402374;0.0052811019122600555
Confusion;0.37533271312713623;0.4971085786819458;0.004594489466398954
Confusion;0.3526374101638794;0.5012011528015137;0.009307589381933212
Confusion;0.34596869349479675;0.5070462226867676;0.013824503868818283
Confusion;0.3400478661060333;0.5383474826812744;0.02829575538635254
Confusion;0.41272369027137756;0.708145022392273;-0.002376700285822153
Confusion;0.3449428379535675;0.5192388892173767;0.024521494284272194
Confusion;0.30769890546798706;0.5340869426727295;0.07879278063774109
Confusion;0.3264457583427429;0.5301846265792847;0.04014849662780762
Confusion;0.3837132453918457;0.5905295014381409;-0.004217216279357672
Confusion;0.4293675720691681;0.6409294605255127;-0.028955264016985893
Confusion;0.43401089310646057;0.652472734451294;-0.023757221177220345
Confusion;0.4180069863796234;0.6461920142173767;-0.022263433784246445
Confusion;0.41177496314048767;0.6517162919044495;-0.015039808116853237
Confusion;0.4255163371562958;0.6541409492492676;-0.019455840811133385
Confusion;0.4193286597728729;0.6562207937240601;-0.01284615509212017
Confusion;0.40158945322036743;0.6699411869049072;-0.0006757183582521975
Confusion;0.4260490834712982;0.6049253344535828;-0.05613694339990616
Confusion;0.4229901432991028;0.5907977819442749;-0.05930742248892784
Confusion;0.32792797684669495;0.4952884614467621;0.01858413964509964
Confusion;0.40048453211784363;0.5529934167861938;-0.0057320911437273026
Confusion;0.4028892517089844;0.6005386710166931;-0.02746068313717842
Confusion;0.40173837542533875;0.5921521782875061;-0.02418498508632183
Confusion;0.35201364755630493;0.5913928151130676;0.011295346543192863
Confusion;0.4218028783798218;0.5717775821685791;-0.05231388285756111
Confusion;0.3501875400543213;0.4774343967437744;-0.0016104105161502957
Confusion;0.33646512031555176;0.48417502641677856;0.00793667696416378
Confusion;0.3125521242618561;0.4516984820365906;0.054258499294519424
Confusion;0.3997079133987427;0.48218876123428345;-0.012918508611619473
Confusion;0.38639089465141296;0.5003790259361267;0.007301010191440582
Confusion;0.39170199632644653;0.6605777740478516;0.003325272584334016
Confusion;0.3354947566986084;0.65451979637146;0.10350983589887619
Confusion;0.41158413887023926;0.6074938774108887;-0.02393217943608761
Confusion;0.42034775018692017;0.6105058789253235;-0.025709889829158783
Confusion;0.4054102301597595;0.6591691970825195;0.001277451403439045
Confusion;0.40994101762771606;0.6578252911567688;-0.002289592521265149
Confusion;0.32934728264808655;0.47622352838516235;0.01372197363525629
Confusion;0.4036475718021393;0.6055178046226501;-0.021498000249266624
Confusion;0.3704460859298706;0.47551286220550537;-0.008632518351078033
Confusion;0.3668559789657593;0.4650428593158722;-0.010458518750965595
Confusion;0.35183000564575195;0.41741394996643066;0.010397974401712418
Confusion;0.32079631090164185;0.46399199962615967;0.0308242030441761
Confusion;0.360329806804657;0.44112175703048706;-0.0010547778801992536
Confusion;0.3208172023296356;0.48990607261657715;0.028816519305109978
Confusion;0.3130200207233429;0.4838641881942749;0.05055788531899452
Confusion;0.43156030774116516;0.647909939289093;-0.027743125334382057
Confusion;0.42241472005844116;0.6514514684677124;-0.021449126303195953
Confusion;0.4157177209854126;0.6543393135070801;-0.014938320964574814
Confusion;0.41451525688171387;0.6091722249984741;-0.021922513842582703
Confusion;0.40798693895339966;0.6586365699768066;-0.0005132792866788805
Confusion;0.41201555728912354;0.6591750383377075;-0.008327036164700985
Confusion;0.4106341004371643;0.6569980382919312;-0.002641561208292842
Confusion;0.4159128963947296;0.6048266887664795;-0.03910106420516968
Confusion;0.42139163613319397;0.6550040245056152;-0.011101744137704372
Confusion;0.42794376611709595;0.6541450619697571;-0.015267124399542809
Confusion;0.43597277998924255;0.6536567211151123;-0.01921752467751503
Confusion;0.4367140829563141;0.683315634727478;-0.01551101915538311
